Type,CPI,CPI_YonY,CPI_MonM
Jan-57,1.90972,,
Feb-57,1.89311,,-0.86957
Mar-57,1.89311,,0
Apr-57,1.95953,,3.50877
May-57,1.92632,,-1.69492
Jun-57,1.95953,,1.72414
Jul-57,1.97614,,0.84746
Aug-57,2.02596,,2.52101
Sep-57,2.02596,,0
Oct-57,2.04256,,0.81967
Nov-57,2.04256,,0
Dec-57,2.04256,,0
Jan-58,2.04256,6.95652,0
Feb-58,2.09238,10.52632,2.43902
Mar-58,2.04256,7.89474,-2.38095
Apr-58,2.05917,5.08475,0.81301
May-58,2.05917,6.89655,0
Jun-58,2.07578,5.9322,0.80645
Jul-58,2.1256,7.56303,2.4
Aug-58,2.10899,4.09836,-0.78125
Sep-58,2.1256,4.91803,0.7874
Oct-58,1.99275,-2.43902,-6.25
Nov-58,1.90972,-6.50407,-4.16667
Dec-58,1.8599,-8.94309,-2.6087
Jan-59,1.8599,-8.94309,0
Feb-59,1.8765,-10.31746,0.89286
Mar-59,1.90972,-6.50407,1.76991
Apr-59,1.90972,-7.25806,0
May-59,1.92632,-6.45161,0.86957
Jun-59,1.94293,-6.4,0.86207
Jul-59,1.97614,-7.03125,1.7094
Aug-59,2.00935,-4.72441,1.68067
Sep-59,2.04256,-3.90625,1.65289
Oct-59,2.04256,2.5,0
Nov-59,2.09238,9.56522,2.43902
Dec-59,2.07578,11.60714,-0.79365
Jan-60,2.10899,13.39286,1.6
Feb-60,2.1256,13.27434,0.7874
Mar-60,2.10899,10.43478,-0.78125
Apr-60,2.09238,9.56522,-0.7874
May-60,2.10899,9.48276,0.79365
Jun-60,2.1256,9.40171,0.7874
Jul-60,2.1422,8.40336,0.78125
Aug-60,2.09238,4.13223,-2.32558
Sep-60,2.09238,2.43902,0
Oct-60,2.10899,3.25203,0.79365
Nov-60,2.09238,0,-0.7874
Dec-60,2.10899,1.6,0.79365
Jan-61,2.10899,0,0
Feb-61,2.10899,-0.78125,0
Mar-61,2.1256,0.7874,0.7874
Apr-61,2.1256,1.5873,0
May-61,2.10899,0,-0.78125
Jun-61,2.1422,0.78125,1.5748
Jul-61,2.1256,-0.77519,-0.77519
Aug-61,2.17541,3.96825,2.34375
Sep-61,2.20863,5.55556,1.52672
Oct-61,2.17541,3.14961,-1.50376
Nov-61,2.17541,3.96825,0
Dec-61,2.1422,1.5748,-1.52672
Jan-62,2.14707,1.80557,0.22719
Feb-62,2.16688,2.74475,0.92253
Mar-62,2.16219,1.72162,-0.21624
Apr-62,2.14643,0.98015,-0.72892
May-62,2.15857,2.3509,0.56559
Jun-62,2.17454,1.50973,0.74001
Jul-62,2.12918,0.16854,-2.08619
Aug-62,2.10447,-3.26108,-1.16035
Sep-62,2.09808,-5.0051,-0.30361
Oct-62,2.1066,-3.16318,0.40605
Nov-62,2.10916,-3.04569,0.12132
Dec-62,2.08701,-2.57651,-1.05019
Jan-63,2.08786,-2.75766,0.04082
Feb-63,2.1132,-2.4769,1.21391
Mar-63,2.14047,-1.00473,1.29006
Apr-63,2.16368,0.80373,1.08458
May-63,2.1788,0.93735,0.69889
Jun-63,2.2197,2.0764,1.87683
Jul-63,2.19371,3.03091,-1.1706
Aug-63,2.17476,3.33974,-0.86408
Sep-63,2.17816,3.81687,0.15669
Oct-63,2.17199,3.10383,-0.28356
Nov-63,2.16155,2.4841,-0.48049
Dec-63,2.17902,4.40861,0.80796
Jan-64,2.17454,4.15179,-0.20526
Feb-64,2.22907,5.48277,2.50735
Mar-64,2.22438,3.9204,-0.2102
Apr-64,2.22907,3.02195,0.21065
May-64,2.20819,1.34897,-0.93637
Jun-64,2.22183,0.09595,0.61728
Jul-64,2.25377,2.73786,1.43788
Aug-64,2.27869,4.77916,1.10565
Sep-64,2.30808,5.9646,1.28984
Oct-64,2.30936,6.32477,0.05537
Nov-64,2.28849,5.8725,-0.90381
Dec-64,2.32257,6.58782,1.48906
Jan-65,2.34514,7.84525,0.97203
Feb-65,2.36814,6.23925,0.98084
Mar-65,2.35877,6.04175,-0.39572
Apr-65,2.36154,5.94305,0.11738
May-65,2.39285,8.36227,1.32576
Jun-65,2.35664,6.06787,-1.51313
Jul-65,2.39242,6.15196,1.5183
Aug-65,2.39775,5.22479,0.22256
Sep-65,2.41159,4.48464,0.57737
Oct-65,2.3822,3.15411,-1.21876
Nov-65,2.37666,3.85295,-0.23245
Dec-65,2.41053,3.78725,1.42486
Jan-66,2.43885,3.996,1.17512
Feb-66,2.4855,4.95548,1.9125
Mar-66,2.47187,4.79458,-0.54841
Apr-66,2.53278,7.25108,2.46424
May-66,2.51127,4.94882,-0.84931
Jun-66,2.54577,8.02531,1.37393
Jul-66,2.56004,7.00614,0.56053
Aug-66,2.58645,7.86996,1.03161
Sep-66,2.59753,7.70997,0.42819
Oct-66,2.61265,9.67367,0.58216
Nov-66,2.61882,10.18909,0.23641
Dec-66,2.65652,10.20498,1.43949
Jan-67,2.67718,9.77207,0.77768
Feb-67,2.72894,9.79434,1.93317
Mar-67,2.70146,9.2883,-1.00679
Apr-67,2.7251,7.59334,0.87512
May-67,2.73021,8.71851,0.18757
Jun-67,2.75449,8.19878,0.8893
Jul-67,2.76173,7.87854,0.26289
Aug-67,2.78942,7.8475,1.00254
Sep-67,2.71041,4.34569,-2.83271
Oct-67,2.70189,3.41567,-0.31432
Nov-67,2.70828,3.41574,0.23648
Dec-67,2.71445,2.18071,0.22806
Jan-68,2.70955,1.20923,-0.18046
Feb-68,2.70508,-0.87411,-0.16507
Mar-68,2.69337,-0.29959,-0.43304
Apr-68,2.69635,-1.0551,0.11071
May-68,2.71978,-0.38225,0.86888
Jun-68,2.76131,0.24743,1.52702
Jul-68,2.76173,0,0.01543
Aug-68,2.72276,-2.38986,-1.41127
Sep-68,2.72233,0.44004,-0.01564
Oct-68,2.73405,1.19029,0.43029
Nov-68,2.7645,2.07612,1.11397
Dec-68,2.76855,1.99294,0.14638
Jan-69,2.77856,2.54677,0.36157
Feb-69,2.78303,2.88166,0.16097
Mar-69,2.7907,3.61379,0.2755
Apr-69,2.77728,3.00158,-0.48081
May-69,2.77111,1.88724,-0.22239
Jun-69,2.77686,0.56305,0.20752
Jul-69,2.81732,2.0128,1.45728
Aug-69,2.82818,3.87203,0.38555
Sep-69,2.86205,5.13222,1.19738
Oct-69,2.83798,3.80151,-0.8409
Nov-69,2.8793,4.15254,1.45591
Dec-69,2.90102,4.78498,0.75449
Jan-70,2.89038,4.02422,-0.36708
Feb-70,2.90422,4.35448,0.47896
Mar-70,2.90209,3.99145,-0.07334
Apr-70,2.91018,4.78528,0.27888
May-70,2.93148,5.78741,0.73185
Jun-70,2.97344,7.07931,1.43127
Jul-70,2.99175,6.19141,0.616
Aug-70,3.01092,6.46133,0.64071
Sep-70,2.98451,4.27891,-0.87713
Oct-70,2.9941,5.50094,0.32113
Nov-70,3.06523,6.45758,2.37587
Dec-70,3.05352,5.25659,-0.38216
Jan-71,3.07042,6.22927,0.55364
Feb-71,3.07157,5.76228,0.03724
Mar-71,3.08729,6.3817,0.51191
Apr-71,3.07528,5.67326,-0.38892
May-71,3.06242,4.46665,-0.41833
Jun-71,3.07729,3.49252,0.48544
Jul-71,3.11788,4.21583,1.31921
Aug-71,3.12503,3.78974,0.22923
Sep-71,3.13389,5.00512,0.2836
Oct-71,3.1539,5.33738,0.63857
Nov-71,3.15991,3.08864,0.19036
Dec-71,3.16162,3.54029,0.05428
Jan-72,3.16391,3.04469,0.07234
Feb-72,3.1965,4.06739,1.03009
Mar-72,3.22223,4.37078,0.80494
Apr-72,3.2471,5.58706,0.77189
May-72,3.20422,4.63032,-1.32066
Jun-72,3.21508,4.47789,0.33904
Jul-72,3.29427,5.65744,2.4631
Aug-72,3.29971,5.58961,0.16489
Sep-72,3.30771,5.54643,0.24259
Oct-72,3.32515,5.42966,0.52723
Nov-72,3.34459,5.84457,0.58464
Dec-72,3.4092,7.83073,1.93179
Jan-73,3.48953,10.29186,2.35639
Feb-73,3.53785,10.67883,1.38456
Mar-73,3.56529,10.64679,0.77576
Apr-73,3.65249,12.48459,2.44567
May-73,3.6725,14.61456,0.5479
Jun-73,3.74855,16.59257,2.07068
Jul-73,4.00442,21.55689,6.82581
Aug-73,4.34691,31.73627,8.55287
Sep-73,4.41209,33.38807,1.49951
Oct-73,4.56533,37.29688,3.47308
Nov-73,4.58677,37.13993,0.46966
Dec-73,4.69826,37.81132,2.43082
Jan-74,4.53588,29.98525,-3.45625
Feb-74,4.62393,30.69899,1.94126
Mar-74,4.74115,32.98051,2.53493
Apr-74,4.79747,31.34784,1.18789
May-74,4.78231,30.21952,-0.31583
Jun-74,5.0013,33.41977,4.57915
Jul-74,5.13053,28.12165,2.58374
Aug-74,5.34437,22.9464,4.16806
Sep-74,5.45815,23.70894,2.12903
Oct-74,5.53963,21.34135,1.49277
Nov-74,5.53305,20.63077,-0.1187
Dec-74,5.66513,20.57929,2.3871
Jan-75,5.73946,26.53473,1.31207
Feb-75,5.82895,26.06034,1.55908
Mar-75,5.92014,24.86734,1.56457
Apr-75,6.2026,29.28908,4.7711
May-75,6.11055,27.77379,-1.48414
Jun-75,6.12913,22.55059,0.30411
Jul-75,6.23776,21.58141,1.77247
Aug-75,6.26407,17.20873,0.42165
Sep-75,6.3241,15.86528,0.95842
Oct-75,6.41759,15.84869,1.47823
Nov-75,6.37499,15.21649,-0.66376
Dec-75,6.38728,12.74727,0.19283
Jan-76,6.35441,10.71429,-0.51473
Feb-76,6.37785,9.41684,0.36892
Mar-76,6.41101,8.29148,0.51997
Apr-76,6.48077,4.4847,1.08807
May-76,6.4802,6.04941,-0.00882
Jun-76,6.48992,5.88647,0.15
Jul-76,6.52422,4.59233,0.52861
Aug-76,6.60913,5.50865,1.30143
Sep-76,6.77466,7.12445,2.50454
Oct-76,6.81125,6.13418,0.54015
Nov-76,6.9339,8.76721,1.80063
Dec-76,6.98193,9.30982,0.69267
Jan-77,7.00533,10.24368,0.3352
Feb-77,7.0785,10.98575,1.04453
Mar-77,7.19694,12.25909,1.67324
Apr-77,7.24779,11.83539,0.70653
May-77,7.0816,9.2807,-2.29295
Jun-77,7.06982,8.93548,-0.16637
Jul-77,7.3129,12.0885,3.43829
Aug-77,7.42576,12.3561,1.54329
Sep-77,7.45181,9.99529,0.35073
Oct-77,7.45119,9.39524,-0.00832
Nov-77,7.47971,7.87166,0.38282
Dec-77,7.45615,6.79211,-0.31504
Jan-78,7.43692,6.16093,-0.25782
Feb-78,7.48157,5.69426,0.60035
Mar-78,7.51072,4.35981,0.38956
Apr-78,7.56963,4.44045,0.78435
May-78,7.49459,5.83187,-0.99123
Jun-78,7.58265,7.25375,1.17491
Jul-78,7.89146,7.91147,4.07262
Aug-78,7.93053,6.79749,0.49505
Sep-78,7.93239,6.4492,0.02346
Oct-78,7.98138,7.11551,0.61757
Nov-78,7.93239,6.05206,-0.61378
Dec-78,7.86976,5.54724,-0.78956
Jan-79,7.89766,6.19528,0.35458
Feb-79,7.93611,6.07542,0.48681
Mar-79,8.01548,6.72061,1.00016
Apr-79,7.98386,5.47227,-0.39455
May-79,8.0899,7.94307,1.32816
Jun-79,8.13392,7.2702,0.54423
Jul-79,8.70504,10.3096,7.02142
Aug-79,8.78317,10.75143,0.89756
Sep-79,8.77015,10.56129,-0.14826
Oct-79,8.77945,9.99922,0.10606
Nov-79,8.59466,8.34897,-2.10482
Dec-79,8.58102,9.0379,-0.15873
Jan-80,8.69078,10.0424,1.27909
Feb-80,8.78689,10.72043,1.10596
Mar-80,8.90285,11.07071,1.31969
Apr-80,9.04424,13.28155,1.58808
May-80,9.03742,11.7124,-0.07542
Jun-80,9.15958,12.60959,1.35172
Jul-80,9.57195,9.95868,4.50206
Aug-80,9.66062,9.99012,0.92641
Sep-80,9.771,11.41201,1.14256
Oct-80,9.81131,11.75307,0.41252
Nov-80,9.92541,15.48341,1.16294
Dec-80,9.8789,15.12502,-0.46857
Jan-81,9.87518,13.62826,-0.03766
Feb-81,9.98184,13.59915,1.08006
Mar-81,9.95827,11.85484,-0.23607
Apr-81,10.09904,11.66267,1.41354
May-81,10.11206,11.89104,0.12895
Jun-81,10.27081,12.13188,1.56988
Jul-81,10.67388,11.51205,3.92441
Aug-81,10.86239,12.43982,1.76611
Sep-81,10.87789,11.3283,0.14272
Oct-81,10.93432,11.44609,0.51875
Nov-81,11.01989,11.02711,0.78262
Dec-81,10.90952,10.43249,-1.00163
Jan-82,10.90521,10.43048,-0.03948
Feb-82,10.87394,8.9373,-0.28669
Mar-82,10.90228,9.47959,0.26056
Apr-82,10.92279,8.15678,0.18819
May-82,10.9267,8.05615,0.03578
Jun-82,10.96578,6.76651,0.35765
Jul-82,11.07325,3.74162,0.98004
Aug-82,11.20319,3.13747,1.17346
Sep-82,11.24325,3.35872,0.35755
Oct-82,11.30675,3.40609,0.56482
Nov-82,11.34192,2.92226,0.31107
Dec-82,11.32336,3.79344,-0.16367
Jan-83,11.34388,4.02258,0.18119
Feb-83,11.35658,4.43845,0.11196
Mar-83,11.39371,4.50757,0.32691
Apr-83,11.60083,6.20751,1.81787
May-83,11.54514,5.65987,-0.48004
Jun-83,11.6106,5.88026,0.56698
Jul-83,11.79916,6.5555,1.62403
Aug-83,11.92128,6.4097,1.03503
Sep-83,11.96622,6.43031,0.37699
Oct-83,12.26128,8.44206,2.46571
Nov-83,12.32869,8.70015,0.5498
Dec-83,12.32283,8.82657,-0.04755
Jan-84,12.24369,7.93213,-0.64219
Feb-84,12.21438,7.55334,-0.23939
Mar-84,12.24369,7.46013,0.23996
Apr-84,12.3238,6.2321,0.65432
May-84,12.2857,6.41449,-0.30918
Jun-84,12.35604,6.4204,0.57256
Jul-84,12.5534,6.39232,1.59722
Aug-84,12.61593,5.82691,0.49809
Sep-84,12.77224,6.73579,1.23906
Oct-84,12.84161,4.73307,0.5431
Nov-84,12.86604,4.35851,0.1902
Dec-84,12.74293,3.40918,-0.95679
Jan-85,12.84454,4.90744,0.79736
Feb-85,12.96764,6.16701,0.95839
Mar-85,13.03799,6.48739,0.54245
Apr-85,13.21482,7.23006,1.35631
May-85,13.01063,5.9006,-1.54517
Jun-85,13.08391,5.89073,0.56319
Jul-85,13.2793,5.78255,1.49343
Aug-85,13.35356,5.84682,0.55915
Sep-85,13.3897,4.83439,0.27071
Oct-85,13.4493,4.7322,0.44509
Nov-85,13.47666,4.74599,0.2034
Dec-85,13.377,4.97585,-0.73945
Jan-86,13.43562,4.60181,0.43821
Feb-86,13.50108,4.11361,0.4872
Mar-86,13.4747,3.34957,-0.19538
Apr-86,13.50304,2.18098,0.21027
May-86,13.5216,3.92731,0.13747
Jun-86,13.52746,3.39008,0.04335
Jul-86,13.68183,3.03119,1.14112
Aug-86,13.71895,2.73632,0.27135
Sep-86,13.77269,2.86027,0.39168
Oct-86,13.8528,3.00015,0.58168
Nov-86,14.04624,4.22648,1.39643
Dec-86,14.00619,4.70348,-0.28518
Jan-87,13.93389,3.70855,-0.51618
Feb-87,13.86941,2.72813,-0.46277
Mar-87,13.82837,2.62471,-0.29586
Apr-87,14.06383,4.1531,1.7027
May-87,14.03745,3.81503,-0.18757
Jun-87,14.27779,5.54673,1.71214
Jul-87,14.44193,5.55556,1.14958
Aug-87,14.53279,5.9322,0.62914
Sep-87,14.6129,6.10059,0.55126
Oct-87,14.68911,6.0371,0.52149
Nov-87,14.77215,5.16798,0.56535
Dec-87,14.66175,4.68052,-0.74735
Jan-88,14.64123,5.07643,-0.13993
Feb-88,14.71646,6.10735,0.51381
Mar-88,14.87864,7.59503,1.10204
Apr-88,15.15513,7.75964,1.8583
May-88,15.17076,8.0735,0.10315
Jun-88,15.32904,7.3628,1.04328
Jul-88,15.89765,10.07983,3.70937
Aug-88,16.12333,10.94454,1.41962
Sep-88,16.09696,10.15578,-0.16361
Oct-88,16.21908,10.4157,0.75868
Nov-88,16.4262,11.19709,1.27703
Dec-88,16.2435,10.7883,-1.11223
Jan-89,16.27868,11.18377,0.21653
Feb-89,16.37051,11.23946,0.56416
Mar-89,16.41643,10.33554,0.2805
Apr-89,16.79453,10.81743,2.30316
May-89,16.61379,9.51185,-1.07621
Jun-89,16.6089,8.34927,-0.0294
Jul-89,16.80039,5.67847,1.15294
Aug-89,17.00165,5.44749,1.19795
Sep-89,17.06809,6.03302,0.39076
Oct-89,17.20584,6.08397,0.8071
Nov-89,17.26544,5.10914,0.34637
Dec-89,17.13452,5.48538,-0.75826
Jan-90,17.19998,5.65958,0.38203
Feb-90,17.30061,5.68155,0.58506
Mar-90,17.41199,6.06439,0.64378
Apr-90,17.59762,4.78185,1.0661
