Country,Quarter,Population,quarterly_annualized_inflation,quarterly_nonannualized_inflation
Pakistan,1/1/1970,,4.123316765,0.909427643
Pakistan,4/1/1970,58.142062,5.884007931,1.36164391
Pakistan,7/1/1970,,5.637752056,1.952209592
Pakistan,10/1/1970,,5.738292217,1.398203492
Pakistan,1/1/1971,,6.124188423,1.277700782
Pakistan,4/1/1971,59.734479,4.536409378,-0.154880419
Pakistan,7/1/1971,,4.335189342,1.755964279
Pakistan,10/1/1971,,3.978815556,1.051861405
Pakistan,1/1/1972,,3.828640461,1.131426692
Pakistan,4/1/1972,61.381982,4.898706436,0.874130964
Pakistan,7/1/1972,,5.59773159,2.434046984
Pakistan,10/1/1972,,6.369176865,1.79009676
Pakistan,1/1/1973,,10.54028988,5.097149372
Pakistan,4/1/1973,63.099404,14.55696201,4.53956604
Pakistan,7/1/1973,,28.90139961,15.26049519
Pakistan,10/1/1973,,37.41880417,8.51607132
Pakistan,1/1/1974,,31.23178291,0.365347713
Pakistan,4/1/1974,64.905996,31.6750145,4.892645836
Pakistan,7/1/1974,,24.83368874,9.272003174
Pakistan,10/1/1974,,20.84752464,5.050958157
Pakistan,1/1/1975,,25.8082428,4.485285282
Pakistan,4/1/1975,66.816875,26.48079491,5.453386307
Pakistan,7/1/1975,,18.15653419,2.080329895
Pakistan,10/1/1975,,14.58998775,1.880001783
Pakistan,1/1/1976,,9.461690903,-0.190791428
Pakistan,4/1/1976,68.834324,5.469004154,1.60690546
Pakistan,7/1/1976,,5.747824669,2.350191832
Pakistan,10/1/1976,,8.066896439,4.114251137
Pakistan,1/1/1977,,11.16586494,2.671376228
Pakistan,4/1/1977,70.958168,10.01670361,0.556559145
Pakistan,7/1/1977,,11.46502495,3.697586298
Pakistan,10/1/1977,,8.008684158,0.885845959
Pakistan,1/1/1978,,5.396584988,0.188355222
Pakistan,4/1/1978,73.197254,5.830363274,0.9704175
Pakistan,7/1/1978,,7.047645569,4.89033699
Pakistan,10/1/1978,,6.23788166,0.122693092
Pakistan,1/1/1979,,6.331213951,0.276372701
Pakistan,4/1/1979,75.561128,6.891925335,1.502860069
Pakistan,7/1/1979,,10.54115391,8.471233368
Pakistan,10/1/1979,,9.130729675,-1.154799819
Pakistan,1/1/1980,,10.61362457,1.638952613
Pakistan,4/1/1980,78.054346,12.5313797,3.262657881
Pakistan,7/1/1980,,10.45459938,6.46938324
Pakistan,10/1/1980,,14.10311508,2.110236883
Pakistan,1/1/1981,,13.02007389,0.674218476
Pakistan,4/1/1981,84.25,11.89619827,2.235810518
Pakistan,7/1/1981,,11.75917244,6.339002132
Pakistan,10/1/1981,,10.96756649,1.386975884
Pakistan,1/1/1982,,9.612983704,-0.55471307
Pakistan,4/1/1982,87.4,7.654947758,0.409554303
Pakistan,7/1/1982,,3.410664558,2.146600008
Pakistan,10/1/1982,,3.372440815,1.34950006
Pakistan,1/1/1983,,4.322740555,0.359484643
Pakistan,4/1/1983,89.9,5.915803432,1.942860365
Pakistan,7/1/1983,,6.464776039,2.676036596
Pakistan,10/1/1983,,8.65639019,3.435814619
Pakistan,1/1/1984,,7.64822197,-0.571700811
Pakistan,4/1/1984,92.4,6.355587006,0.718735099
Pakistan,7/1/1984,,6.318613529,2.640342474
Pakistan,10/1/1984,,4.166005135,1.341573238
Pakistan,1/1/1985,,5.853697777,1.039231658
Pakistan,4/1/1985,94.9,6.340522289,1.181943893
Pakistan,7/1/1985,,5.484743118,1.81434083
Pakistan,10/1/1985,,4.81756258,0.700598001
Pakistan,1/1/1986,,4.018609047,0.269077867
Pakistan,4/1/1986,97.5,3.161426544,0.34813723
Pakistan,7/1/1986,,2.87562561,1.532271743
Pakistan,10/1/1986,,3.975564957,1.777282119
Pakistan,1/1/1987,,3.019606829,-0.652802467
Pakistan,4/1/1987,100.1,4.505264282,1.795269012
Pakistan,7/1/1987,,5.863369942,2.851741791
Pakistan,10/1/1987,,5.292362213,1.228314042
Pakistan,1/1/1988,,6.256453514,0.256853074
Pakistan,4/1/1988,102.7,7.729902744,3.206855536
Pakistan,7/1/1988,,10.39359856,5.394821167
Pakistan,10/1/1988,,10.80111599,1.601997972
Pakistan,1/1/1989,,10.91700172,0.361710638
Pakistan,4/1/1989,105.4,9.554889679,1.939427733
Pakistan,7/1/1989,,5.719680786,1.70524466
Pakistan,10/1/1989,,5.557553768,1.446185827
Pakistan,1/1/1990,,5.802353382,0.594460487
Pakistan,4/1/1990,109.71,6.983103752,3.077067852
Pakistan,7/1/1990,,10.83775043,5.369728088
Pakistan,10/1/1990,,12.38711834,2.864271879
Pakistan,1/1/1991,,13.61814213,1.696314216
Pakistan,4/1/1991,112.61,13.72101498,3.170396328
Pakistan,7/1/1991,,10.06094551,1.978441477
Pakistan,10/1/1991,,9.08706665,1.954073071
Pakistan,1/1/1992,,9.176065445,1.779283404
Pakistan,4/1/1992,115.54,9.295706749,3.283456802
Pakistan,7/1/1992,,10.45491314,3.06003952
Pakistan,10/1/1992,,10.0714159,1.600090146
Pakistan,1/1/1993,,9.526522636,1.275439501
Pakistan,4/1/1993,118.5,9.293345451,3.063571215
Pakistan,7/1/1993,,9.868161201,3.602072001
Pakistan,10/1/1993,,11.14068699,2.776851892
Pakistan,1/1/1994,,11.83266735,1.905997396
Pakistan,4/1/1994,121.48,12.17691612,3.380826473
Pakistan,7/1/1994,,11.95610332,3.398138762
Pakistan,10/1/1994,,13.43678284,4.136130333
Pakistan,1/1/1995,,14.50989056,2.870024204
Pakistan,4/1/1995,124.49,12.17409801,1.272047043
Pakistan,7/1/1995,,12.42900372,3.633101225
Pakistan,10/1/1995,,10.47283936,2.32425499
Pakistan,1/1/1996,,9.654729843,2.108217955
Pakistan,4/1/1996,127.51,10.70086575,2.238209486
Pakistan,7/1/1996,,9.893870354,2.87762928
Pakistan,10/1/1996,,11.20401382,3.54415369
Pakistan,1/1/1997,,13.01007938,3.766559362
Pakistan,4/1/1997,130.56,12.98461056,2.215167999
Pakistan,7/1/1997,,10.91236019,0.99075073
Pakistan,10/1/1997,,8.811313629,1.582685709
Pakistan,1/1/1998,,6.017528057,1.102300048
Pakistan,4/1/1998,132.35,5.802727699,2.008071423
Pakistan,7/1/1998,,6.710119724,1.85687387
Pakistan,10/1/1998,,6.36866188,1.257635117
Pakistan,1/1/1999,,5.73618412,0.501136839
Pakistan,4/1/1999,136.69,4.193918705,0.52018404
Pakistan,7/1/1999,,3.306186438,0.989053071
Pakistan,10/1/1999,,3.404327631,1.353830338
Pakistan,1/1/2000,,3.341182232,0.439764291
Pakistan,4/1/2000,139.76,4.273138046,1.426699162
Pakistan,7/1/2000,,4.821030617,1.519689918
Pakistan,10/1/2000,,5.006432056,1.533099055
Pakistan,1/1/2001,,4.48412466,-0.059828218
Pakistan,4/1/2001,142.86,3.352127552,0.327826798
Pakistan,7/1/2001,,2.744049311,0.922392964
Pakistan,10/1/2001,,2.073089361,0.870046914
Pakistan,1/1/2002,,2.58621788,0.442577928
Pakistan,4/1/2002,146.02,3.293516636,1.019554853
Pakistan,7/1/2002,,3.942909241,1.556878567
Pakistan,10/1/2002,,3.304797173,0.250799417
Pakistan,1/1/2003,,3.148720026,0.29082495
Pakistan,4/1/2003,149.32,2.362380266,0.249446526
Pakistan,7/1/2003,,1.780675888,0.979751825
Pakistan,10/1/2003,,4.381136894,2.812172651
Pakistan,1/1/2004,,4.932805538,0.820875406
Pakistan,4/1/2004,152.66,7.159964085,2.377202511
Pakistan,7/1/2004,,9.188074112,2.89089489
Pakistan,10/1/2004,,8.436442375,2.104431629
Pakistan,1/1/2005,,9.568240166,1.873186946
Pakistan,4/1/2005,156.04,9.885931969,2.674043417
Pakistan,7/1/2005,,8.643403053,1.727462411
Pakistan,10/1/2005,,8.222129822,1.708513975
Pakistan,1/1/2006,,7.900089264,1.570039034
Pakistan,4/1/2006,159.46,6.975884438,1.794601083
Pakistan,7/1/2006,,8.433515549,3.113580227
Pakistan,10/1/2006,,8.35056591,1.630708098
Pakistan,1/1/2007,,7.236213684,0.525422931
Pakistan,4/1/2007,162.91,7.108642101,1.673502803
Pakistan,7/1/2007,,7.071190834,3.077526093
Pakistan,10/1/2007,,8.925121307,3.390436888
Pakistan,1/1/2008,,12.41298485,3.744321823
Pakistan,4/1/2008,166.41,19.34576607,7.943954468
Pakistan,7/1/2008,,24.51804733,7.544764519
Pakistan,10/1/2008,,23.10132599,2.214097738
Pakistan,1/1/2009,,19.86034012,1.012962461
Pakistan,4/1/2009,169.94,13.21296215,1.957451582
Pakistan,7/1/2009,,8.81251812,3.36463666
Pakistan,10/1/2009,,8.538643837,1.956831455
Pakistan,1/1/2010,,10.9090395,3.219002962
Pakistan,4/1/2010,173.51,12.06101322,3.016448736
Pakistan,7/1/2010,,13.36182594,4.564500332
Pakistan,10/1/2010,,15.24610519,3.651538849
Pakistan,1/1/2011,,13.25858212,1.438898325
Pakistan,4/1/2011,177.1,12.83564281,2.631757021
Pakistan,7/1/2011,,11.46678066,3.295979023
Pakistan,10/1/2011,,10.29876041,2.565411568
Pakistan,1/1/2012,,10.64429569,1.756678224
Pakistan,4/1/2012,180.71,11.60624027,3.524040461
Pakistan,7/1/2012,,9.146989822,1.019845605
Pakistan,10/1/2012,,7.503733158,1.021243453
Pakistan,1/1/2013,,7.337504864,1.599336386
Pakistan,4/1/2013,184.35,5.593400478,1.841900349
Pakistan,7/1/2013,,8.062755585,3.382246017
Pakistan,10/1/2013,,9.717559814,2.568218231
Pakistan,1/1/2014,,8.125248909,0.124843948
Pakistan,4/1/2014,188.02,8.580537796,2.270731688
Pakistan,7/1/2014,,7.517088413,2.369709015
Pakistan,10/1/2014,,4.691318989,-0.127484694
Pakistan,1/1/2015,,3.201503277,-1.29998827
Pakistan,4/1/2015,191.71,2.809307098,1.882072687
Pakistan,7/1/2015,,1.637171865,1.202585578
Pakistan,10/1/2015,,2.50592041,0.726180434
Pakistan,1/1/2016,,3.760741949,-0.091756649
Pakistan,4/1/2016,198.79,3.50921154,1.635096312
Pakistan,7/1/2016,,3.880114317,1.565222979
Pakistan,10/1/2016,,3.906211615,0.751485527
Pakistan,1/1/2017,,4.272242546,0.260190815
Pakistan,4/1/2017,202.93,4.57626009,1.931424975
Pakistan,7/1/2017,,3.393600464,0.416615248
Pakistan,10/1/2017,,4.112591743,1.452103615
Pakistan,1/1/2018,,3.821956635,-0.019690102
Pakistan,4/1/2018,207.07,4.35902977,2.4587183
Pakistan,7/1/2018,,5.597898006,1.608682156
Pakistan,10/1/2018,,6.48107481,2.300606728
Pakistan,1/1/2019,,8.271473885,1.661403656
Pakistan,4/1/2019,211.17,8.939422607,3.090807438
Pakistan,7/1/2019,,11.70275402,4.18606329
Pakistan,10/1/2019,,13.22202301,3.69199729
